name,faction,start_date,end_date
Абдуллін Олександр Рафкатович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Аваков Арсен Борисович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-03-17
Аверченко Сергій Миколайович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,2014-04-01
Агафонова Наталія Володимирівна,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Азаров Микола Янович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2012-12-18
Азаров Олексій Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Алексєєв Ігор Вікторович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Андрієвський Дмитро Йосипович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Апостол Михайло Володимирович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Ар'єв Володимир Ігорович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Аркаллаєв Нуруліслам Гаджиєвич,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Атрошенко Владислав Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Баграєв Микола Георгійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Баграєв Микола Георгійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Бадаєв Руслан Геннадійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Байдюк Лариса Макарівна,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Байсаров Леонід Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Баландін Сергій Вікторович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Балицький Євген Віталійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Балицький Євген Віталійович,"Група ""За мир та стабільність""",2014-07-02,
Балога Павло Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-04-16
Бандуров Володимир Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-08-12
Барвіненко Віталій Дмитрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Барвіненко Віталій Дмитрович,"Група ""Економічний розвиток""",2014-02-24,
Бахтеєва Тетяна Дмитрівна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Безбах Яків Якович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бенюк Богдан Михайлович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Бережна Ірина Григоріївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Березкін Станіслав Семенович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Березкін Станіслав Семенович,"Група ""Економічний розвиток""",2014-02-24,
Бєлькова Ольга Валентинівна,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Бідьовка Володимир Анатолійович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Білий Олексій Петрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Біловол Олександр Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Біловол Олександр Миколайович,"Група ""Економічний розвиток""",2014-02-27,
Блавацький Михайло Васильович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Благодир Юрій Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2013-01-10,2014-02-20
Благодир Юрій Анатолійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Близнюк Анатолій Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бобков Олександр Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Бобков Олександр Михайлович,"Група ""За мир та стабільність""",2014-07-02,
Бобов Геннадій Борисович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Бобов Геннадій Борисович,"Група ""Економічний розвиток""",2014-02-24,
Богдан Руслан Дмитрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2014-06-19,
Богословська Інна Германівна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-12-03
Богуслаєв Вячеслав Олександрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бойко Володимир Богданович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Бойко Володимир Семенович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бондар Віктор Васильович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Бондар Віктор Васильович,"Група ""Суверенна європейська Україна""",2014-02-27,
Бондаренко Володимир Дмитрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-05-13
Бондаренко Олена Анатоліївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бондарєв Костянтин Анатолійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Бондарчук Олег Володимирович,"Фракція Всеукраїнське об'єднання ""Свобода""",2014-03-11,
Борита Ольга Василівна,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Борт Віталій Петрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Боярський Юрій Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Брайко Сергій Борисович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-06
Брайко Сергій Борисович,"Група ""За мир та стабільність""",2014-07-02,
Бригинець Олександр Михайлович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Бриченко Ігор Віталійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Бублик Юрій Васильович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Булах Вікторія Володимирівна,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Бурбак Максим Юрійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-03-17
Буряк Сергій Васильович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Буряк Сергій Васильович,"Група ""Економічний розвиток""",2014-02-24,
Бутківський Віктор Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Буховець Олег Юлійович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Буховець Олег Юлійович,"Група ""За мир та стабільність""",2014-07-25,
Бушко Іван Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Бушко Іван Іванович,"Група ""Суверенна європейська Україна""",2014-02-27,
Ванзуряк Роман Степанович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,2014-04-15
Васадзе Таріел Шакрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Васадзе Таріел Шакрович,"Група ""Економічний розвиток""",2014-02-24,
Васильєв Геннадій Андрійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Васильєв Геннадій Андрійович,"Група ""За мир та стабільність""",2014-07-02,
Васильєв Олександр Андрійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Васильєв Олександр Андрійович,"Група ""За мир та стабільність""",2014-07-02,
Васюник Ігор Васильович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Ващук Катерина Тимофіївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Ващук Катерина Тимофіївна,"Група ""Суверенна європейська Україна""",2014-02-27,
Веревський Андрій Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-03-05
Вечерко Володимир Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Вечерко Володимир Миколайович,"Група ""За мир та стабільність""",2014-07-02,2014-10-20
Вітів Анатолій Миколайович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Власенко Сергій Володимирович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2013-03-06
Власенко Сергій Володимирович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2014-03-04,
Вознюк Юрій Володимирович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Волков Олександр Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-04-17
Волков Олександр Анатолійович,"Група ""Економічний розвиток""",2014-04-24,
Волков Олександр Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Волков Олександр Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2014-04-08,
Воропаєв Юрій Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Гайдош Іштван Ференцович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Гайдош Іштван Ференцович,"Група ""Суверенна європейська Україна""",2014-02-27,
Ганчуков Олександр Костянтинович,Фракція Комуністичної партії України,2014-06-03,2014-07-24
Гелевей Олег Іванович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Герасимчук Михайло Іванович,Фракція Комуністичної партії України,2012-12-12,2013-11-07
Геращенко Ірина Володимирівна,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Герега Олександр Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Гержов Юрій Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Гержов Юрій Іванович,"Група ""Економічний розвиток""",2014-02-24,
Герман Ганна Миколаївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Гєллєр Євгеній Борисович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Гінка Ярослав Ярославович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Гіршфельд Анатолій Мусійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-04-08
Гладій Василь Іванович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Глазунов Сергій Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Головко Валерій Анатолійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Головко Михайло Йосифович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Голуб Олександр Володимирович,Фракція Комуністичної партії України,2012-12-12,2014-07-01
Голуб Олександр Володимирович,"Група ""За мир та стабільність""",2014-07-02,
Гончаров Анатолій Дмитрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-04-09
Гончаров Анатолій Дмитрович,"Група ""За мир та стабільність""",2014-07-02,
Гончаров Сергій Васильович,Фракція Комуністичної партії України,2012-12-12,2014-07-01
Гончаров Сергій Васильович,"Група ""За мир та стабільність""",2014-07-02,
Гордієнко Сергій Володимирович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Горіна Ірина Анатоліївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-04-08
Горохов Сергій Олександрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Горохов Сергій Олександрович,"Група ""За мир та стабільність""",2014-07-02,
Гриневецький Сергій Рафаїлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-07-04
Гриневич Лілія Михайлівна,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Гринів Ігор Олексійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2014-03-25,
Гриценко Анатолій Степанович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-02-04
Груба Григорій Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-03-04
Груба Григорій Іванович,"Група ""За мир та стабільність""",2014-07-02,
Грушевський Віталій Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Грушевський Віталій Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2014-04-08,2014-06-03
Грушевський Віталій Анатолійович,"Група ""За мир та стабільність""",2014-07-02,2014-10-07
Губар Віктор Іванович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Гузенко Костянтин Олександрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Гурвіц Едуард Йосипович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Данілов Віталій Богданович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Даценко Леонід Миколайович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2014-02-04,
Дейч Борис Давидович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Демедюк Василь Харитонович,Фракція Комуністичної партії України,2013-12-19,2014-07-24
Демедюк Василь Харитонович,"Група ""За мир та стабільність""",2014-07-25,
Демидко Володимир Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Демішкан Володимир Федорович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-25
Демішкан Володимир Федорович,"Група ""Економічний розвиток""",2014-02-24,
Демянко Микола Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Денисенко Анатолій Петрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Денисенко Анатолій Петрович,"Група ""За мир та стабільність""",2014-07-02,
Денісова Людмила Леонтіївна,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-03-17
Деревляний Василь Тимофійович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Деркач Андрій Леонідович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Джемілєв Мустафа,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Джига Микола Васильович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Джига Микола Васильович,"Група ""Суверенна європейська Україна""",2014-02-27,
Дзарданов Микола Сергійович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Дзензерський Денис Вікторович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Дзоз Віталіна Олексіївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Дзоз Віталіна Олексіївна,"Група ""За мир та стабільність""",2014-07-02,
Дирів Анатолій Борисович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Дмитрук Микола Ілліч,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-27
Дмитрук Микола Ілліч,"Група ""Економічний розвиток""",2014-02-28,
Добкін Дмитро Маркович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Долженков Олександр Валерійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Донець Тетяна Анатоліївна,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Доній Олександр Сергійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Дорохов Антон Миколайович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Дубіль Валерій Олександрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Дубневич Ярослав Васильович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Дубовой Олександр Федорович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Дудка Володимир Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Дудка Володимир Володимирович,"Група ""Суверенна європейська Україна""",2014-02-27,
Дудка Олександр Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Дудка Олександр Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2014-07-03,
Дунаєв Сергій Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-04-08
Єгоров Олександр Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-03-11
Єдін Олександр Йосипович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Єдін Олександр Йосипович,"Група ""Економічний розвиток""",2014-02-24,
Ємець Леонід Олександрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Єремеєв Ігор Миронович,"Група ""Суверенна європейська Україна""",2014-02-27,
Єфремов Олександр Сергійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Жванія Давид Важаєвич,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-12-03
Жеребнюк Віктор Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Жеребнюк Віктор Миколайович,"Група ""Суверенна європейська Україна""",2014-02-27,
Жук Микола Васильович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Жук Микола Васильович,"Група ""Економічний розвиток""",2014-02-24,
Журавський Віталій Станіславович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-27
Журавський Віталій Станіславович,"Група ""Економічний розвиток""",2014-02-28,
Забзалюк Роман Омелянович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-02-04
Задорожний Вячеслав Казимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Зарубінський Олег Олександрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Зарубінський Олег Олександрович,"Група ""Суверенна європейська Україна""",2014-02-27,
Зац Олександр Вікторович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2013-01-10,
Звягільський Юхим Леонідович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Зелик Руслан Богданович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Зубик Володимир Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Зубик Володимир Володимирович,"Група ""Суверенна європейська Україна""",2014-02-27,2014-05-13
Зубко Геннадій Григорович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Зубчевський Олександр Петрович,Фракція Комуністичної партії України,2012-12-12,2014-07-01
